,Region,Site,Filename,Start.freq,End.freq,Min.freq,Max.freq,Delta.freq,Duration,Extrema,sqrtStart.freq,sqrtEnd.freq,sqrtDelta.freq,logDuration,logExt,sqrtMin,sqrtMax
181,Coastal,1,T1C.07.ch01.180923.083206.62,8012.9,13083.9,7471,13238.7,5767.7,0.876,9,89.51480325,114.3848766,75.94537511,-0.132389188,2.197224577,86.43494664,115.0595498
182,Coastal,1,T1C.07.ch01.180927.084910.23,6077.4,5109.7,4877.4,10761.3,5883.9,1.147,7,77.95768083,71.48216561,76.70658381,0.137149838,1.945910149,69.83838486,103.7366859
183,Coastal,1,T1C.08.ch01.180725.061435.68,6658.1,4451.6,4451.6,6658.1,2206.5,0.611,2,81.59718132,66.72031175,46.97339673,-0.49265832,0.693147181,66.72031175,81.59718132
184,Coastal,1,T1C.08.ch01.180731.100702.91,5419.4,5303.2,5032.3,11032.3,6000,0.636,5,73.61657422,72.82307327,77.45966692,-0.452556716,1.609437912,70.93870594,105.0347562
185,Coastal,1,T1C.08.ch01.180927.084917.35,12077.4,16800,9058.1,16800,7741.9,0.562,3,109.8972247,129.614814,87.98806737,-0.576253429,1.098612289,95.17405109,129.614814
186,Coastal,1,T1C.09.ch01.180927.084930.16,13006.5,4335.5,4258.1,14438.7,10180.6,1.378,7,114.0460433,65.84451382,100.8989594,0.320633173,1.945910149,65.25411864,120.1611418
187,Coastal,1,T1C.12.ch01.180813.002119.68,9832.3,4451.6,3793.5,9832.3,6038.8,1.189,6,99.1579548,66.72031175,77.70971625,0.173112618,1.791759469,61.5913955,99.1579548
188,Coastal,1,T1C.13.ch01.180923.083336.37,9793.5,3174.2,3174.2,15212.9,12038.7,0.937,5,98.96211396,56.34003905,109.7210098,-0.065071997,1.609437912,56.34003905,123.3405854
189,Coastal,1,T1C.14.ch01.180729.211858.98,3212.9,4529,3212.9,14632.3,11419.4,1.644,10,56.68244878,67.29784543,106.8615927,0.497132297,2.302585093,56.68244878,120.9640442
190,Coastal,1,T1C.16.ch01.180727.062137.28,7858.1,4103.2,4103.2,15948.4,11845.2,1.185,5,88.64592489,64.0562253,108.8356559,0.169742775,1.609437912,64.0562253,126.2869748
191,Coastal,1,T1C.18.ch01.180727.062319.56,10064.5,7664.5,6503.2,12619.4,6116.2,0.903,7,100.3219816,87.54713016,78.20613787,-0.102032726,1.945910149,80.6424206,112.3361028
192,Coastal,1,T1C.25.ch01.180727.063311.66,7741.9,4180.6,3832.3,16335.5,12503.2,0.899,5,87.98806737,64.6575595,111.8177088,-0.106472245,1.609437912,61.90557325,127.8104065
193,Coastal,1,sel.114.T1C.2017.07,9590.7,2640.9,2640.9,16586.9,13946,1.06,5,97.93211935,51.38968768,118.0931835,0.058268908,1.609437912,51.38968768,128.7901394
194,Coastal,1,sel.375.T1C.2017.07,10450.9,4418.8,3005.8,10450.9,7445.1,0.777,8,102.2296435,66.47405509,86.2849929,-0.252314929,2.079441542,54.8251767,102.2296435
195,Coastal,1,67,7005.4,13275.7,4800,16864.9,12064.9,1.004,16,83.6982676,115.2202239,109.8403387,0.003992021,2.772588722,69.2820323,129.8649298
196,Coastal,1,sel.137_T1C_201708,4467.2,3065.7,3065.7,10292,7226.3,0.698,4,66.83711544,55.36876376,85.00764671,-0.359536176,1.386294361,55.36876376,101.4494948
