site,whistle,date,SiteIndex
2,20170310_061906.ctr,3/10/17,162
2,20170311_090637.ctr,3/11/17,163
2,20170311_090639.ctr,3/11/17,164
2,20170312_121905.ctr,3/12/17,165
2,20170325_231515.ctr,3/25/17,166
2,20170325_231536,3/25/17,167
2,20170325_231702.ctr,3/25/17,168
2,20170616_211008.ctr,6/16/17,170
2,20170621_231834.ctr,6/21/17,172
2,20170622_221640.ctr,6/22/17,173
2,20170622_221643.ctr,6/22/17,174
2,20170622_221811.ctr,6/22/17,175
2,20170622_221814,6/22/17,176
2,20170624_190506.ctr,6/24/17,177
2,20170626_050739.ctr,6/26/17,178
2,20170626_210632.ctr,6/26/17,179
2,20170626_210946.ctr,6/26/17,180
2,20170626_211724.ctr,6/26/17,181
2,20170629_001435.ctr,6/29/17,182
2,20170701_231440.ctr,7/1/17,183
2,20170701_231449.ctr,7/1/17,184
2,20170702_210806.ctr,7/2/17,185
2,20170702_230855.ctr,7/2/17,186
2,20170706_040645.ctr,7/6/17,187
2,20170707_021814.ctr,7/7/17,188
2,20170707_021817.ctr,7/7/17,189
2,20170712_170311.ctr,7/12/17,190
2,20170712_170427.ctr,7/12/17,191
2,20170712_170442,7/12/17,192
2,20170712_170444,7/12/17,193
2,20170712_171659.ctr,7/12/17,194
2,20170720_200648.ctr,7/20/17,195
2,20170729_020347.ctr,7/29/17,196
2,20170729_020442.ctr,7/29/17,197
2,20170729_020515.ctr,7/29/17,198
2,20170729_020553,7/29/17,199
2,20170730_230627.ctr,7/30/17,200
2,20170730_230958.ctr,7/30/17,201
2,20170730_231150.ctr,7/30/17,202
2,20170730_231346.ctr,7/30/17,203
2,20170730_231355.ctr,7/30/17,204
2,20170730_231405,7/30/17,205
2,20170801_220624.ctr,8/1/17,206
2,20170809_190448.ctr,8/9/17,207
2,20170809_191943.ctr,8/9/17,208
2,20170815_031903.ctr,8/15/17,210
2,20170815_221934.ctr,8/15/17,211
2,20170816_171504.ctr,8/16/17,212
2,20170816_171514.ctr,8/16/17,213
2,20170816_171519.ctr,8/16/17,214
2,20170816_171705,8/16/17,216
2,20170816_180315.ctr,8/16/17,217
2,20170816_180327.ctr,8/16/17,218
2,20170903_011936.ctr,9/3/17,219
2,A5C.01.ch01.180713.233051.35..ctr',7/13/18,220
2,A5C.02.ch01.180713.233608.16..ctr',7/13/18,221
2,A5CKS.01.ch01.180714.003016.76..ctr',7/14/18,222
2,A5CKS.02.ch01.180714.010112.72..ctr',7/14/18,223
2,A5CKS.03.ch01.180714.014820.01..ctr',7/14/18,224
2,A5CKS.04.ch01.180714.020244.52..ctr',7/14/18,225
2,A5C.01.ch01.180715.200049.53..ctr',7/15/18,226
2,A5C.02.ch01.180715.200517.18..ctr',7/15/18,227
2,A5C.01.ch01.180724.231510.06..ctr',7/24/18,228
2,A5C.02.ch01.180724.231817.64..ctr',7/24/18,229
2,A5C.01.ch01.180725.061551.71..ctr',7/25/18,230
2,A5C.01.ch01.180725.221719.01..ctr',7/25/18,231
2,A5C.01.ch01.180725.224959.41..ctr',7/25/18,232
2,A5C.01.ch01.180726.024908.81..ctr',7/26/18,234
2,A5C.01.ch01.180727.063135.73..ctr',7/27/18,235
2,A5C.01.ch01.180729.213428.80..ctr',7/29/18,238
2,A5C.01.ch01.180729.214617.10..ctr',7/29/18,239
2,A5C.02.ch01.180729.211804.62..ctr',7/29/18,240
2,A5C.02.ch01.180729.214628.26..ctr',7/29/18,241
2,A5C.01.ch01.180730.021552.11..ctr',7/30/18,242
2,A5C.01.ch01.180730.023225.04..ctr',7/30/18,243
2,A5C.01.ch01.180730.024507.32..ctr',7/30/18,244
2,A5C.02.ch01.180730.021741.57..ctr',7/30/18,245
2,A5C.02.ch01.180730.024704.52..ctr',7/30/18,247
2,A5C.03.ch01.180730.023338.02..ctr',7/30/18,249
2,A5C.01.ch01.180731.001746.11..ctr',7/31/18,250
2,A5C.01.ch01.180731.004617.99..ctr',7/31/18,252
2,A5C.01.ch01.180802.223303.71..ctr',8/2/18,253
2,A5C.01.ch01.180803.023046.06..ctr',8/3/18,254
2,A5C.01.ch01.180814.200026.00..ctr',8/14/18,256
2,A5C.01.ch01.180814.201801.61..ctr',8/14/18,257
2,A5C.01.ch01.180814.204759.71..ctr',8/14/18,258
2,A5C.01.ch01.180815.210216.68..ctr',8/15/18,260
2,A5C.01.ch01.180818.070047.73..ctr',8/18/18,261
2,A5C.01.ch01.180820.040231.52..ctr',8/20/18,263
2,A5C.01.ch01.180821.213437.22..ctr',8/21/18,264
2,A5C.01.ch01.180909.033007.85..ctr',9/9/18,266
2,A5C.01.ch01.180909.191924.84..ctr',9/9/18,267
2,A5C.01.ch01.180910.220322.66..ctr',9/10/18,268
2,A5C.01.ch01.180918.221811.57..ctr',9/18/18,269
2,A5C.01.ch01.180919.013155.09..ctr',9/19/18,270
2,A5C.01.ch01.180920.014527.73..ctr',9/20/18,271
2,A5C.01.ch01.180924.091626.73..ctr',9/24/18,274
2,A5C.01.ch01.180925.190052.18..ctr',9/25/18,275
2,A5C.01.ch01.180925.193006.56..ctr',9/25/18,276
2,A5C.03.ch01.180925.193404.85..ctr',9/25/18,278
2,A5C.01.ch01.180927.220006.51..ctr',9/27/18,279
2,A5C.01.ch01.180927.221916.01..ctr',9/27/18,280
2,A5C.02.ch01.180927.220221.51..ctr',9/27/18,281
2,A5C.01.ch01.180929.211717.48..ctr',9/29/18,282
2,A5C.01.ch01.181012.021719.09..ctr',10/12/18,284
2,A5C.01.ch01.181012.234832.30..ctr',10/12/18,286
2,A5C.01.ch01.181013.061521.98..ctr',10/13/18,288
2,A5C.02.ch01.181013.061535.90..ctr',10/13/18,289
2,A5C.03.ch01.181013.061728.14..ctr',10/13/18,290
2,A5C.01.ch01.181031.051553.24..ctr',10/31/18,291
2,A5C.01.ch01.181031.234924.88..ctr',10/31/18,292
2,A5C.01.ch01.181105.200055.20..ctr',11/5/18,294
2,A5C.02.ch01.181105.200225.15..ctr',11/5/18,295
2,A5C.01.ch01.181107.121840.55..ctr',11/7/18,297
2,A5C.01.ch01.181112.051629.40..ctr',11/12/18,298
2,A5C.01.ch01.181112.053001.20..ctr',11/12/18,299
